Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Marius         Brazinskas     4    8    2    9    7    2    4    1    3    1    3         
Jonas          Jonaitis       10   1    1    8    5    10   5    5    10   5    6         
Petras         Stankevicius   4    4    3    9    7    2    6    10   2    2    2         
Antanas        Kavaliauskas   1    4    4    2    7    7    10   1    9    10   6         
Jonas          Kavolis        5    4    1    7    4    10   6    2    8    8    4         
Kazys          Jonaitis       4    2    9    8    7    10   4    9    8    10   9         
Darius         Stankevicius   7    7    6    6    1    1    8    10   3    7    4         
Kazys          Brazinskas     5    4    8    2    8    7    1    9    5    6    10        
Paulius        Jankauskas     10   8    9    1    8    8    7    5    9    9    8         
Petras         Zukauskas      1    3    2    3    10   10   6    4    7    6    10        
Tomas          Stankevicius   7    4    3    5    10   4    8    10   6    4    9         
Paulius        Jonaitis       3    5    2    7    7    8    5    3    2    8    10        
Marius         Kavaliauskas   7    8    8    7    6    5    8    4    2    2    3         
Lukas          Zukauskas      6    7    4    2    4    8    4    3    2    8    10        
Petras         Zukauskas      3    6    8    7    10   4    8    8    9    9    10        
Tomas          Kavaliauskas   9    9    5    8    10   10   7    1    10   5    2         
Tomas          Petraitis      7    3    9    5    3    9    7    8    5    10   1         
Darius         Stankevicius   5    1    10   3    2    8    4    9    8    3    9         
Darius         Kazlauskas     10   2    5    4    9    1    9    2    8    5    10        
Mantas         Jankauskas     10   10   9    6    1    8    8    8    9    10   10        
Marius         Kavaliauskas   4    10   2    10   6    6    6    6    3    8    1         
Petras         Kavolis        3    1    3    6    8    10   10   2    9    9    10        
Tomas          Zukauskas      6    4    4    1    10   6    5    3    7    2    5         
Petras         Jonaitis       3    6    2    8    4    9    10   8    7    6    5         
Kazys          Kazlauskas     6    9    2    9    7    7    3    2    5    3    8         
Kazys          Brazinskas     9    7    2    1    4    10   5    9    6    10   3         
Paulius        Zukauskas      5    9    2    9    7    9    4    1    8    2    9         
Paulius        Brazinskas     3    4    8    1    7    4    7    2    5    7    8         
Jonas          Kazlauskas     3    2    9    9    1    7    1    4    9    9    1         
Paulius        Jonaitis       4    4    6    10   8    6    5    4    6    3    4         
Petras         Kavolis        8    9    7    5    1    5    7    10   2    9    5         
Jonas          Stankevicius   10   3    1    6    1    10   9    6    3    9    3         
Antanas        Kavolis        6    6    1    6    6    10   9    10   2    8    3         
Mantas         Petraitis      8    1    5    7    2    6    1    10   7    10   3         
Darius         Kazlauskas     3    7    3    10   2    5    9    2    9    4    2         
Petras         Kazlauskas     4    4    9    3    3    8    3    4    1    9    3         
Antanas        Stankevicius   5    10   5    2    1    3    9    9    7    4    7         
Marius         Petraitis      8    9    10   9    1    1    9    10   3    7    7         
Darius         Kazlauskas     8    5    6    5    3    1    1    1    10   10   5         
Marius         Stankevicius   7    10   5    4    8    2    7    9    10   1    9         
Kazys          Kazlauskas     1    3    9    5    1    4    6    8    7    5    6         
Tomas          Jonaitis       5    6    8    7    3    4    1    4    5    5    4         
Antanas        Kazlauskas     1    10   3    8    8    10   5    9    7    7    1         
Antanas        Brazinskas     9    9    7    2    6    6    8    3    8    5    6         
Kazys          Zukauskas      3    5    10   7    4    7    2    10   10   5    10        
Kazys          Petraitis      2    4    7    8    7    4    10   7    7    5    9         
Kazys          Kazlauskas     2    2    9    7    2    4    3    8    9    10   7         
Darius         Zukauskas      10   3    1    10   5    3    9    3    4    5    5         
Marius         Kavolis        5    6    1    5    3    3    5    1    1    6    7         
Petras         Petraitis      9    6    4    7    10   10   10   5    7    10   4         
Darius         Jankauskas     4    6    1    2    10   4    5    3    9    7    5         
Petras         Kazlauskas     9    7    7    7    8    6    8    6    1    2    6         
Tomas          Brazinskas     3    8    4    6    4    8    10   1    3    4    2         
Kazys          Stankevicius   2    5    1    7    10   1    8    10   1    1    8         
Mantas         Brazinskas     1    3    10   1    5    4    2    2    4    6    2         
Marius         Brazinskas     7    1    6    9    1    10   4    1    5    9    2         
Kazys          Zukauskas      3    9    5    7    3    4    4    10   7    6    3         
Jonas          Kazlauskas     9    5    6    3    10   7    1    6    5    2    9         
Paulius        Jankauskas     9    6    7    7    4    4    9    1    5    3    8         
Marius         Jonaitis       6    8    7    10   2    2    4    7    10   2    10        
Tomas          Zukauskas      7    5    4    9    9    4    3    7    5    7    9         
Darius         Brazinskas     8    2    2    8    6    6    3    7    4    10   8         
Kazys          Zukauskas      5    1    4    9    8    1    7    1    8    9    2         
Jonas          Kazlauskas     6    6    9    6    1    7    9    9    1    2    7         
Mantas         Kavolis        9    2    3    3    4    2    4    4    8    10   3         
Tomas          Petraitis      6    9    8    10   6    1    3    6    8    2    3         
Jonas          Kavaliauskas   4    7    6    10   1    7    3    2    2    9    1         
Kazys          Jankauskas     6    2    9    6    3    8    4    5    3    10   1         
Kazys          Jankauskas     4    7    5    1    1    1    2    10   1    7    3         
Kazys          Petraitis      5    9    9    10   2    10   9    1    9    5    2         
Lukas          Petraitis      7    7    9    1    2    10   4    8    9    1    10        
Lukas          Kavolis        4    4    7    8    3    3    9    1    5    8    3         
Mantas         Petraitis      5    9    1    9    6    3    3    2    3    10   3         
Petras         Kavolis        1    6    7    4    1    1    1    4    7    6    10        
Kazys          Petraitis      5    1    2    10   2    2    8    5    1    7    6         
Lukas          Kazlauskas     4    5    3    5    5    8    1    10   4    4    2         
Tomas          Zukauskas      8    4    8    1    7    2    1    10   2    8    6         
Tomas          Kavaliauskas   6    5    6    2    10   2    9    7    7    10   6         
Kazys          Kavolis        8    10   6    3    6    3    2    6    4    9    10        
Lukas          Zukauskas      10   9    1    5    3    1    3    1    8    1    9         
Kazys          Zukauskas      5    10   6    2    6    10   8    9    3    6    3         
Paulius        Zukauskas      9    10   3    1    1    9    8    10   2    6    1         
Kazys          Kavolis        2    4    10   9    5    2    9    1    1    3    7         
Petras         Stankevicius   10   1    9    3    10   3    6    6    7    9    4         
Lukas          Kavaliauskas   6    8    5    8    6    4    5    8    6    1    9         
Petras         Stankevicius   10   3    1    6    6    3    10   7    9    2    9         
Mantas         Jonaitis       5    5    8    2    4    2    4    5    2    2    10        
Petras         Kavolis        2    2    8    3    8    10   2    4    8    1    8         
Marius         Kavaliauskas   4    7    10   6    7    8    9    7    1    5    10        
Mantas         Kavaliauskas   7    7    8    8    8    2    7    5    4    7    9         
Mantas         Jankauskas     7    9    3    5    1    3    1    6    2    1    8         
Kazys          Brazinskas     7    1    8    3    3    2    1    4    5    9    9         
Mantas         Zukauskas      6    7    1    1    7    3    4    6    3    4    5         
Marius         Petraitis      2    8    4    5    4    7    2    3    4    1    8         
